f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
8478,0.42,0.63,2.06,1.25,0.42,0.82,1.5,2.06,0.76
8484,0.42,0.67,2.06,1.4,0.44,0.81,1.6,2.06,0.77
8489,0.41,0.63,2.1,1.29,0.45,0.8,1.54,2.1,0.75
8494,0.27,0.43,2.07,1.02,0.44,0.8,1.58,2.07,0.67
8500,0.31,0.45,2.16,0.98,0.47,0.78,1.47,2.16,0.68
8505,0.3,0.45,2.17,1.02,0.49,0.76,1.52,2.17,0.68
8510,0.3,0.52,2.16,1.25,0.5,0.75,1.71,2.16,0.71
8516,0.37,0.65,2.29,1.52,0.57,0.68,1.74,2.29,0.74
8521,0.4,0.68,2.33,1.52,0.58,0.67,1.71,2.33,0.76
8527,0.25,0.43,2.37,1.16,0.6,0.64,1.73,2.37,0.64
8532,0.23,0.41,2.33,1.19,0.59,0.65,1.8,2.33,0.63
8537,0.26,0.52,2.24,1.48,0.57,0.67,1.97,2.24,0.69
8543,0.21,0.38,2.25,1.16,0.57,0.68,1.85,2.25,0.61
8548,0.25,0.53,2.18,1.55,0.57,0.68,2.07,2.18,0.71
8554,0.29,0.52,2.23,1.36,0.56,0.69,1.81,2.23,0.7
8559,0.18,0.32,2.29,0.97,0.58,0.66,1.73,2.29,0.56
8564,0.2,0.3,2.05,0.77,0.46,0.78,1.51,2.05,0.59
8570,0.24,0.3,2.24,0.62,0.53,0.72,1.25,2.24,0.6
8575,0.19,0.27,2.22,0.69,0.53,0.72,1.38,2.22,0.54
8580,0.19,0.3,2.24,0.84,0.56,0.69,1.56,2.24,0.55
8586,0.21,0.32,2.12,0.78,0.5,0.75,1.49,2.12,0.61
8591,0.16,0.23,2.23,0.71,0.55,0.7,1.46,2.23,0.47
8597,0.17,0.3,2.33,0.94,0.61,0.63,1.71,2.33,0.54
8602,0.18,0.29,2.08,0.82,0.51,0.74,1.63,2.08,0.57
8607,0.2,0.32,2.3,0.91,0.6,0.64,1.6,2.3,0.57
8613,0.19,0.28,2.26,0.79,0.57,0.67,1.5,2.26,0.54
8618,0.2,0.32,2.17,0.9,0.55,0.69,1.64,2.17,0.59
8624,0.23,0.34,2.38,0.87,0.63,0.6,1.5,2.38,0.59
8629,0.21,0.34,2.55,0.9,0.71,0.5,1.57,2.55,0.58
8634,0.21,0.38,2.24,1.12,0.6,0.64,1.82,2.24,0.63
8640,0.14,0.23,2.26,0.79,0.59,0.65,1.61,2.26,0.47
8645,0.14,0.2,2.25,0.69,0.58,0.66,1.47,2.25,0.44
8650,0.15,0.24,2.2,0.79,0.58,0.67,1.61,2.2,0.49
8656,0.17,0.21,2.34,0.56,0.61,0.63,1.25,2.34,0.47
8661,0.14,0.18,2.1,0.57,0.52,0.73,1.32,2.1,0.42
8667,0.17,0.25,2.16,0.71,0.56,0.69,1.48,2.16,0.51
8672,0.19,0.25,2.23,0.61,0.58,0.67,1.29,2.23,0.53
8677,0.15,0.17,2.17,0.49,0.55,0.7,1.17,2.17,0.41
8683,0.14,0.16,2.28,0.47,0.6,0.64,1.11,2.28,0.38
8688,0.13,0.15,2.15,0.5,0.55,0.7,1.21,2.15,0.38
8694,0.16,0.18,2.29,0.48,0.6,0.64,1.13,2.29,0.41
8699,0.19,0.26,2.23,0.65,0.59,0.65,1.33,2.23,0.53
8704,0.16,0.17,2.37,0.46,0.64,0.58,1.07,2.37,0.39
8710,0.18,0.2,2.36,0.51,0.64,0.59,1.14,2.36,0.45
8715,0.11,0.12,2.3,0.41,0.62,0.62,1.03,2.3,0.3
8720,0.14,0.14,2.29,0.4,0.62,0.62,1.01,2.29,0.36
8726,0.15,0.16,2.48,0.44,0.7,0.51,1.03,2.48,0.37
8731,0.17,0.18,2.44,0.47,0.68,0.53,1.07,2.44,0.42
8737,0.19,0.2,2.56,0.48,0.73,0.46,1.05,2.56,0.44
8742,0.14,0.14,2.74,0.4,0.81,0.34,0.95,2.74,0.32
8747,0.17,0.21,2.37,0.54,0.67,0.55,1.24,2.37,0.48
8753,0.16,0.16,2.65,0.43,0.78,0.39,0.99,2.65,0.37
8758,0.16,0.17,2.81,0.48,0.85,0.28,1.06,2.81,0.38
8764,0.13,0.14,2.89,0.47,0.88,0.22,1.08,2.89,0.33
8769,0.19,0.17,2.7,0.37,0.8,0.35,0.89,2.7,0.4
8774,0.13,0.13,2.95,0.44,0.91,0.17,1.01,2.95,0.29
8780,0.21,0.22,2.87,0.51,0.88,0.23,1.06,2.87,0.46
8785,0.16,0.18,3.14,0.48,1.0,0.0,1.09,3.14,0.4
8790,0.17,0.18,2.79,0.5,0.85,0.28,1.1,2.79,0.4
8796,0.16,0.16,2.68,0.41,0.81,0.35,1.0,2.68,0.38
8801,0.14,0.12,2.99,0.39,0.93,0.13,0.9,2.99,0.29
8807,0.11,0.09,-3.11,0.34,1.02,-0.03,0.78,-3.11,0.2
8812,0.15,0.17,3.12,0.51,0.99,0.02,1.13,3.12,0.37
8817,0.12,0.1,-3.03,0.38,1.05,-0.11,0.89,-3.03,0.24
8823,0.13,0.11,3.03,0.38,0.95,0.09,0.89,3.03,0.27
8828,0.12,0.14,-3.11,0.52,1.01,-0.02,1.18,-3.11,0.32
8833,0.13,0.12,-3.1,0.4,1.02,-0.04,0.94,-3.1,0.27
8839,0.19,0.23,-2.91,0.6,1.1,-0.21,1.22,-2.91,0.48
8844,0.16,0.21,3.14,0.62,1.0,0.0,1.29,3.14,0.44
8850,0.14,0.18,-3.02,0.6,1.05,-0.11,1.29,-3.02,0.38
8855,0.12,0.14,-2.91,0.51,1.1,-0.22,1.16,-2.91,0.32
8860,0.12,0.13,-2.65,0.45,1.23,-0.51,1.08,-2.65,0.31
8866,0.18,0.23,-2.81,0.62,1.14,-0.31,1.28,-2.81,0.47
8871,0.11,0.11,-2.87,0.44,1.12,-0.25,1.01,-2.87,0.26
8877,0.1,0.13,-2.91,0.59,1.09,-0.19,1.31,-2.91,0.3
8882,0.12,0.13,-2.78,0.5,1.15,-0.33,1.15,-2.78,0.31
8887,0.11,0.12,-2.7,0.45,1.19,-0.42,1.07,-2.7,0.29
8893,0.12,0.14,-2.78,0.53,1.15,-0.33,1.19,-2.78,0.31
8898,0.13,0.19,-2.99,0.71,1.06,-0.11,1.54,-2.99,0.42
8903,0.15,0.21,-2.62,0.67,1.22,-0.48,1.4,-2.62,0.45
8909,0.16,0.24,-2.3,0.67,1.37,-0.88,1.52,-2.3,0.54
8914,0.1,0.12,-2.68,0.56,1.19,-0.41,1.24,-2.68,0.27
8920,0.1,0.14,-2.63,0.63,1.2,-0.44,1.38,-2.63,0.32
8925,0.11,0.16,-2.43,0.68,1.29,-0.67,1.5,-2.43,0.36
8930,0.1,0.14,-2.44,0.62,1.28,-0.65,1.41,-2.44,0.31
8936,0.09,0.11,-2.63,0.56,1.2,-0.44,1.24,-2.63,0.25
8941,0.09,0.12,-2.51,0.61,1.25,-0.56,1.34,-2.51,0.27
8947,0.1,0.15,-2.49,0.72,1.24,-0.55,1.54,-2.49,0.32
8952,0.07,0.08,-2.4,0.6,1.3,-0.69,1.22,-2.4,0.17
8957,0.08,0.12,-2.31,0.68,1.33,-0.76,1.49,-2.31,0.26
8963,0.06,0.09,-2.24,0.79,1.36,-0.85,1.46,-2.24,0.17
8968,0.08,0.12,-2.47,0.71,1.24,-0.54,1.51,-2.47,0.26
8973,0.08,0.12,-2.77,0.72,1.12,-0.26,1.44,-2.77,0.24
8979,0.07,0.1,-2.9,0.85,1.08,-0.16,1.49,-2.9,0.18
8984,0.07,0.07,-2.84,0.64,1.1,-0.21,1.12,-2.84,0.13
8990,0.07,0.07,-2.98,0.51,1.05,-0.11,0.98,-2.98,0.14
8995,0.07,0.09,-2.81,0.65,1.11,-0.23,1.2,-2.81,0.16
9000,0.08,0.13,-2.77,0.87,1.11,-0.24,1.65,-2.77,0.26
9006,0.08,0.11,-3.01,0.75,1.04,-0.08,1.43,-3.01,0.21
9011,0.08,0.15,-2.57,1.0,1.17,-0.36,1.91,-2.57,0.28
9017,0.09,0.16,-3.05,0.97,1.02,-0.05,1.83,-3.05,0.3
9022,0.07,0.11,-3.08,0.82,1.02,-0.03,1.48,-3.08,0.19
9027,0.09,0.18,-2.69,1.01,1.12,-0.26,1.97,-2.69,0.35
9033,0.08,0.14,3.06,0.86,0.98,0.04,1.67,3.06,0.27
9038,0.09,0.17,-3.1,0.96,1.01,-0.02,1.83,-3.1,0.32
9043,0.11,0.2,-2.79,0.92,1.09,-0.19,1.83,-2.79,0.4
9049,0.09,0.17,-3.07,1.05,1.02,-0.04,1.93,-3.07,0.3
9054,0.1,0.2,-2.85,1.11,1.07,-0.15,2.02,-2.85,0.36
9060,0.09,0.17,-3.06,0.99,1.02,-0.04,1.86,-3.06,0.32
9065,0.1,0.2,-2.88,1.13,1.06,-0.13,2.03,-2.88,0.35
9070,0.11,0.24,-2.92,1.26,1.05,-0.1,2.19,-2.92,0.41
