f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
0,150.72,143.61,0.0,159.17,1.0,0.0,0.95,0.0,0.86
5,158.87,153.86,-0.07,172.55,0.85,0.28,0.97,-0.07,0.86
10,197.6,203.72,-0.15,241.75,0.83,0.31,1.03,-0.15,0.87
16,325.56,381.29,-0.21,486.52,0.88,0.23,1.17,-0.21,0.92
21,663.48,819.4,-0.25,1051.56,0.88,0.23,1.24,-0.25,0.96
26,1800.65,2112.72,-0.25,2508.01,0.82,0.33,1.17,-0.25,0.99
32,3418.13,4078.57,-0.28,4896.61,0.8,0.35,1.19,-0.28,0.99
37,3724.76,4308.33,-0.24,5012.33,0.74,0.46,1.16,-0.24,0.99
43,4859.43,5540.84,-0.23,6342.14,0.69,0.53,1.14,-0.23,1.0
48,6117.39,6887.57,-0.22,7778.16,0.64,0.6,1.13,-0.22,1.0
53,5859.71,6632.27,-0.21,7531.69,0.61,0.63,1.13,-0.21,1.0
59,9119.08,10336.2,-0.2,11741.53,0.57,0.67,1.13,-0.2,1.0
64,8396.2,9540.8,-0.2,10866.44,0.55,0.7,1.14,-0.2,1.0
69,9341.42,10688.94,-0.21,12256.12,0.54,0.71,1.14,-0.21,1.0
75,11257.54,13001.56,-0.2,15046.07,0.53,0.72,1.15,-0.2,1.0
80,12766.42,15028.43,-0.2,17726.6,0.54,0.71,1.18,-0.2,1.0
86,10848.04,13026.08,-0.19,15682.54,0.56,0.69,1.2,-0.19,1.0
91,7938.19,9739.99,-0.2,11999.16,0.58,0.67,1.23,-0.2,1.0
96,6470.52,8196.15,-0.22,10443.17,0.6,0.63,1.27,-0.22,0.99
102,6221.83,8174.81,-0.24,10821.35,0.63,0.6,1.31,-0.24,0.99
107,2805.38,3896.32,-0.27,5528.4,0.67,0.55,1.39,-0.27,0.98
113,3240.35,4740.17,-0.35,7099.64,0.69,0.52,1.46,-0.35,0.98
118,1457.83,2123.0,-0.43,3309.22,0.67,0.55,1.46,-0.43,0.93
123,1092.41,1605.73,-0.58,2680.73,0.69,0.53,1.47,-0.58,0.88
129,1384.14,1713.44,-0.85,2457.72,0.7,0.51,1.24,-0.85,0.86
134,1264.67,1186.73,-0.89,1355.59,0.69,0.53,0.94,-0.89,0.82
139,2296.31,1765.33,-0.91,1534.73,0.7,0.51,0.77,-0.91,0.88
145,3924.75,2689.99,-0.81,1971.77,0.69,0.52,0.69,-0.81,0.94
150,5347.94,3515.23,-0.67,2401.98,0.67,0.56,0.66,-0.67,0.96
156,5989.12,3843.78,-0.59,2537.62,0.65,0.57,0.64,-0.59,0.97
161,9001.26,5784.27,-0.49,3771.81,0.64,0.59,0.64,-0.49,0.99
166,10486.32,6843.77,-0.41,4508.0,0.62,0.61,0.65,-0.41,0.99
172,17921.56,12116.0,-0.37,8224.89,0.59,0.65,0.68,-0.37,1.0
177,21454.22,14640.19,-0.35,10020.18,0.58,0.67,0.68,-0.35,1.0
183,12778.67,8847.98,-0.31,6152.43,0.57,0.68,0.69,-0.31,1.0
188,24599.76,17598.52,-0.3,12612.3,0.53,0.72,0.72,-0.3,1.0
193,23522.33,17000.38,-0.27,12308.43,0.53,0.72,0.72,-0.27,1.0
199,21752.15,15897.88,-0.26,11639.86,0.52,0.73,0.73,-0.26,1.0
204,20112.75,15043.88,-0.24,11271.97,0.5,0.75,0.75,-0.24,1.0
209,22972.2,17423.47,-0.22,13233.41,0.5,0.75,0.76,-0.22,1.0
215,23634.07,18243.78,-0.21,14100.08,0.49,0.76,0.77,-0.21,1.0
220,22724.64,17784.9,-0.2,13935.17,0.48,0.77,0.78,-0.2,1.0
226,21315.65,17059.02,-0.19,13669.34,0.47,0.78,0.8,-0.19,1.0
231,14921.08,12274.75,-0.18,10113.02,0.44,0.81,0.82,-0.18,1.0
236,20888.04,17445.3,-0.17,14585.91,0.45,0.8,0.84,-0.17,1.0
242,20957.38,17892.11,-0.18,15290.66,0.41,0.83,0.85,-0.18,1.0
247,25978.73,22420.52,-0.18,19363.63,0.4,0.84,0.86,-0.18,1.0
253,23838.27,21046.02,-0.18,18595.69,0.38,0.86,0.88,-0.18,1.0
258,25948.41,23357.15,-0.19,21039.78,0.36,0.87,0.9,-0.19,1.0
263,22402.29,20485.61,-0.19,18747.62,0.34,0.88,0.91,-0.19,1.0
269,20914.05,19612.54,-0.18,18406.41,0.35,0.88,0.94,-0.18,1.0
274,21339.21,20177.46,-0.19,19095.57,0.33,0.89,0.95,-0.19,1.0
279,15697.49,15149.0,-0.2,14636.77,0.32,0.9,0.97,-0.2,1.0
285,22370.99,21970.89,-0.2,21596.72,0.32,0.9,0.98,-0.2,1.0
290,16570.55,16560.15,-0.2,16568.63,0.32,0.9,1.0,-0.2,1.0
296,16803.53,17277.53,-0.21,17784.92,0.3,0.91,1.03,-0.21,1.0
301,19068.72,19848.51,-0.23,20682.42,0.29,0.92,1.04,-0.23,1.0
306,17305.63,18476.51,-0.23,19749.18,0.3,0.91,1.07,-0.23,1.0
312,21498.24,23384.88,-0.26,25462.37,0.27,0.93,1.09,-0.26,1.0
317,16974.93,18944.86,-0.27,21171.28,0.27,0.93,1.12,-0.27,1.0
322,17252.47,19510.7,-0.29,22093.71,0.26,0.93,1.13,-0.29,1.0
328,13943.42,16085.41,-0.32,18588.51,0.25,0.94,1.15,-0.32,1.0
333,9919.5,11725.46,-0.34,13894.94,0.25,0.94,1.18,-0.34,1.0
339,12357.56,14711.76,-0.38,17550.69,0.23,0.95,1.19,-0.38,1.0
344,7560.7,9097.64,-0.41,10985.69,0.22,0.95,1.2,-0.41,1.0
349,10017.77,12160.61,-0.44,14800.97,0.22,0.95,1.21,-0.44,1.0
355,8353.91,10225.51,-0.49,12559.06,0.21,0.95,1.22,-0.49,1.0
360,8834.98,10899.79,-0.52,13492.58,0.22,0.95,1.23,-0.52,1.0
366,8782.65,10731.69,-0.57,13160.88,0.21,0.96,1.22,-0.57,1.0
371,5663.03,6814.6,-0.59,8242.77,0.2,0.96,1.2,-0.59,0.99
376,3460.3,4121.51,-0.63,4951.73,0.2,0.96,1.19,-0.63,0.99
382,4660.88,5309.88,-0.65,6084.62,0.17,0.97,1.14,-0.65,0.99
387,4152.05,4610.55,-0.7,5159.3,0.18,0.97,1.11,-0.7,0.99
392,4245.12,4607.26,-0.71,5034.96,0.18,0.97,1.09,-0.71,0.99
398,4133.88,4326.45,-0.71,4557.11,0.16,0.97,1.05,-0.71,0.99
403,4898.7,5001.21,-0.73,5134.65,0.17,0.97,1.02,-0.73,0.99
409,4584.99,4490.19,-0.74,4423.66,0.17,0.97,0.98,-0.74,0.99
414,4525.88,4330.43,-0.75,4168.87,0.17,0.97,0.96,-0.75,0.99
419,4939.85,4576.68,-0.76,4263.45,0.18,0.97,0.93,-0.76,0.99
425,5236.72,4748.99,-0.73,4326.12,0.16,0.97,0.91,-0.73,1.0
430,5637.28,4960.87,-0.74,4383.44,0.17,0.97,0.88,-0.74,1.0
436,5569.85,4859.13,-0.71,4254.67,0.15,0.98,0.87,-0.71,1.0
441,5474.84,4725.45,-0.71,4092.51,0.16,0.98,0.86,-0.71,1.0
446,4620.99,3967.97,-0.68,3419.73,0.15,0.98,0.86,-0.68,1.0
452,4327.75,3697.59,-0.67,3170.34,0.14,0.98,0.85,-0.67,1.0
457,5540.9,4760.15,-0.64,4098.45,0.13,0.98,0.86,-0.64,1.0
462,3759.51,3245.58,-0.64,2810.51,0.13,0.98,0.86,-0.64,1.0
468,3417.9,2944.94,-0.62,2545.42,0.13,0.98,0.86,-0.62,1.0
473,3759.66,3277.95,-0.62,2864.97,0.12,0.99,0.87,-0.62,1.0
479,4731.35,4138.65,-0.61,3626.7,0.12,0.99,0.87,-0.61,1.0
484,5894.89,5216.88,-0.6,4622.87,0.11,0.99,0.88,-0.6,1.0
489,4227.47,3763.52,-0.6,3356.08,0.11,0.99,0.89,-0.6,1.0
495,4316.44,3912.85,-0.6,3552.37,0.1,0.99,0.91,-0.6,1.0
500,5458.52,5050.94,-0.59,4678.88,0.09,0.99,0.93,-0.59,1.0
506,3984.65,3734.72,-0.59,3505.32,0.09,0.99,0.94,-0.59,1.0
511,4242.71,4064.26,-0.6,3898.38,0.08,0.99,0.96,-0.6,1.0
516,4080.07,3951.07,-0.6,3830.98,0.07,0.99,0.97,-0.6,1.0
522,3714.49,3661.27,-0.62,3613.86,0.06,1.0,0.99,-0.62,1.0
527,3566.06,3604.62,-0.63,3649.13,0.06,1.0,1.01,-0.63,1.0
532,3045.02,3120.23,-0.64,3203.16,0.05,1.0,1.02,-0.64,1.0
538,2979.55,3088.64,-0.67,3208.14,0.05,1.0,1.04,-0.67,1.0
543,2744.88,2881.34,-0.67,3030.63,0.05,1.0,1.05,-0.67,1.0
549,2078.08,2212.14,-0.7,2362.05,0.05,1.0,1.06,-0.7,1.0
554,2252.12,2392.63,-0.73,2549.42,0.05,1.0,1.06,-0.73,1.0
559,1648.47,1750.02,-0.76,1866.39,0.05,1.0,1.06,-0.76,1.0
565,1782.92,1886.92,-0.78,2006.05,0.05,1.0,1.06,-0.78,1.0
570,1937.83,2044.54,-0.8,2165.88,0.05,1.0,1.06,-0.8,1.0
576,2190.31,2302.95,-0.85,2431.56,0.06,1.0,1.05,-0.85,1.0
581,2237.66,2351.18,-0.85,2480.18,0.06,1.0,1.05,-0.85,1.0
586,1643.27,1684.38,-0.89,1737.51,0.08,0.99,1.03,-0.89,0.99
592,1836.65,1873.1,-0.91,1921.24,0.08,0.99,1.02,-0.91,0.99
597,1486.54,1487.42,-0.94,1499.81,0.09,0.99,1.0,-0.94,0.99
602,1261.21,1260.47,-0.95,1270.28,0.1,0.99,1.0,-0.95,0.99
608,1404.27,1311.82,-0.98,1236.97,0.12,0.99,0.93,-0.98,0.99
613,1537.62,1423.98,-0.99,1330.46,0.12,0.99,0.93,-0.99,0.99
619,1625.9,1463.0,-0.99,1327.53,0.12,0.98,0.9,-0.99,0.99
624,1665.32,1445.71,-1.0,1266.08,0.14,0.98,0.87,-1.0,0.99
629,1702.01,1445.96,-1.0,1239.06,0.15,0.98,0.85,-1.0,0.99
635,1561.91,1298.13,-0.98,1088.84,0.14,0.98,0.83,-0.98,0.99
640,1741.73,1397.83,-0.98,1131.59,0.16,0.97,0.8,-0.98,0.99
645,1358.09,1077.48,-0.95,863.95,0.16,0.98,0.79,-0.95,0.99
651,1723.86,1340.04,-0.92,1049.91,0.16,0.97,0.78,-0.92,0.99
656,1558.74,1178.81,-0.93,899.53,0.18,0.97,0.76,-0.93,0.99
662,1303.6,968.61,-0.88,727.06,0.19,0.96,0.74,-0.88,0.99
667,1326.48,988.15,-0.87,742.91,0.19,0.96,0.74,-0.87,0.99
672,1330.47,989.69,-0.84,742.82,0.19,0.96,0.74,-0.84,0.99
678,972.43,733.91,-0.83,559.69,0.19,0.96,0.75,-0.83,0.99
683,905.58,689.0,-0.79,529.63,0.2,0.96,0.76,-0.79,0.99
689,638.44,487.16,-0.76,376.71,0.21,0.96,0.76,-0.76,0.99
694,495.18,378.45,-0.74,294.08,0.22,0.95,0.76,-0.74,0.98
699,395.66,314.42,-0.71,254.09,0.22,0.95,0.79,-0.71,0.98
705,389.99,309.5,-0.69,249.8,0.23,0.95,0.79,-0.69,0.98
710,258.82,210.76,-0.67,175.51,0.23,0.95,0.81,-0.67,0.98
715,207.22,173.4,-0.66,148.88,0.24,0.94,0.84,-0.66,0.97
721,234.87,205.46,-0.67,183.0,0.22,0.95,0.87,-0.67,0.98
726,161.19,144.18,-0.65,132.23,0.23,0.95,0.89,-0.65,0.98
732,144.49,130.55,-0.66,121.3,0.23,0.95,0.9,-0.66,0.97
737,162.47,150.76,-0.61,142.75,0.26,0.93,0.93,-0.61,0.98
742,215.32,204.65,-0.66,197.65,0.22,0.95,0.95,-0.66,0.98
748,218.53,210.84,-0.67,206.55,0.22,0.95,0.96,-0.67,0.98
753,241.5,243.33,-0.66,248.37,0.23,0.95,1.01,-0.66,0.99
759,159.99,170.39,-0.63,184.64,0.26,0.93,1.06,-0.63,0.98
764,170.12,184.99,-0.66,204.62,0.25,0.94,1.09,-0.66,0.98
769,210.13,230.26,-0.71,255.89,0.22,0.95,1.1,-0.71,0.99
775,234.62,271.94,-0.71,319.44,0.23,0.95,1.16,-0.71,0.99
780,122.34,147.77,-0.73,183.24,0.23,0.95,1.21,-0.73,0.97
785,209.04,257.99,-0.76,323.85,0.22,0.95,1.23,-0.76,0.98
791,176.9,229.82,-0.78,304.72,0.23,0.95,1.3,-0.78,0.98
796,174.2,227.14,-0.82,302.93,0.22,0.95,1.3,-0.82,0.98
802,213.11,286.38,-0.84,392.16,0.22,0.95,1.34,-0.84,0.98
807,153.8,211.87,-0.9,300.61,0.21,0.95,1.38,-0.9,0.97
812,169.6,237.49,-0.97,342.41,0.21,0.96,1.4,-0.97,0.97
818,220.69,312.85,-0.99,454.36,0.21,0.96,1.42,-0.99,0.98
823,132.67,190.67,-1.09,286.17,0.2,0.96,1.44,-1.09,0.96
829,195.32,273.35,-1.1,394.63,0.19,0.97,1.4,-1.1,0.97
834,172.8,247.5,-1.17,368.6,0.2,0.96,1.43,-1.17,0.96
839,148.97,209.32,-1.22,308.99,0.19,0.96,1.41,-1.22,0.95
845,175.54,243.29,-1.33,352.44,0.2,0.96,1.39,-1.33,0.96
850,201.79,263.84,-1.36,359.73,0.18,0.97,1.31,-1.36,0.96
855,232.55,310.22,-1.36,429.58,0.19,0.96,1.33,-1.36,0.96
861,220.29,278.53,-1.4,367.02,0.18,0.97,1.26,-1.4,0.96
866,210.62,255.92,-1.43,325.4,0.18,0.97,1.22,-1.43,0.96
872,231.17,258.95,-1.48,303.75,0.17,0.97,1.12,-1.48,0.95
877,220.16,247.6,-1.52,293.32,0.19,0.96,1.12,-1.52,0.95
882,296.41,308.89,-1.56,336.1,0.2,0.96,1.04,-1.56,0.96
888,199.69,194.8,-1.54,203.04,0.18,0.97,0.98,-1.54,0.94
893,245.61,234.8,-1.6,237.88,0.21,0.96,0.96,-1.6,0.94
899,219.6,185.11,-1.62,168.02,0.23,0.95,0.84,-1.62,0.93
904,235.48,190.68,-1.6,165.62,0.22,0.95,0.81,-1.6,0.93
909,284.03,221.7,-1.61,184.07,0.23,0.95,0.78,-1.61,0.94
915,331.21,251.64,-1.55,201.44,0.22,0.95,0.76,-1.55,0.95
920,345.9,252.36,-1.5,193.23,0.21,0.96,0.73,-1.5,0.95
925,449.05,323.38,-1.52,242.25,0.22,0.95,0.72,-1.52,0.96
931,424.07,293.46,-1.49,211.79,0.23,0.95,0.69,-1.49,0.96
936,365.3,248.66,-1.42,177.02,0.21,0.95,0.68,-1.42,0.96
942,513.35,311.61,-1.39,196.08,0.26,0.93,0.61,-1.39,0.96
947,500.78,324.69,-1.35,217.67,0.23,0.95,0.65,-1.35,0.97
952,461.86,297.09,-1.35,197.76,0.23,0.95,0.64,-1.35,0.97
958,521.36,336.13,-1.26,222.89,0.23,0.95,0.64,-1.26,0.97
963,766.35,492.7,-1.24,322.61,0.23,0.95,0.64,-1.24,0.98
968,557.77,354.11,-1.19,230.63,0.24,0.94,0.63,-1.19,0.97
974,504.15,322.54,-1.16,211.72,0.24,0.94,0.64,-1.16,0.97
979,587.92,382.59,-1.11,254.1,0.25,0.94,0.65,-1.11,0.98
985,545.27,362.29,-1.06,245.57,0.25,0.94,0.66,-1.06,0.98
990,465.67,323.41,-1.04,229.31,0.24,0.94,0.69,-1.04,0.98
995,449.86,318.92,-1.01,230.58,0.25,0.94,0.71,-1.01,0.98
1001,488.92,367.25,-1.01,279.92,0.23,0.95,0.75,-1.01,0.99
1006,635.65,490.84,-0.97,383.16,0.25,0.94,0.77,-0.97,0.99
1012,415.56,328.05,-0.95,262.99,0.25,0.94,0.79,-0.95,0.98
1017,446.24,374.16,-0.96,317.65,0.24,0.94,0.84,-0.96,0.99
1022,442.28,376.23,-0.94,323.93,0.25,0.94,0.85,-0.94,0.99
1028,395.53,359.24,-0.94,330.05,0.24,0.94,0.91,-0.94,0.99
1033,488.16,450.06,-0.95,418.78,0.24,0.94,0.92,-0.95,0.99
1038,423.55,409.76,-0.97,400.42,0.22,0.95,0.97,-0.97,0.99
1044,447.87,449.66,-0.96,455.48,0.23,0.95,1.0,-0.96,0.99
1049,351.52,374.78,-0.99,403.82,0.22,0.95,1.07,-0.99,0.99
1055,313.3,344.91,-1.01,384.21,0.22,0.95,1.1,-1.01,0.99
1060,276.56,316.58,-1.04,367.25,0.21,0.96,1.14,-1.04,0.99
1065,316.7,368.08,-1.04,432.7,0.21,0.95,1.16,-1.04,0.99
1071,299.79,355.5,-1.08,426.83,0.2,0.96,1.19,-1.08,0.99
1076,251.83,309.67,-1.12,386.7,0.19,0.96,1.23,-1.12,0.98
1082,169.6,214.98,-1.19,278.84,0.18,0.97,1.27,-1.19,0.98
1087,187.23,245.25,-1.21,328.08,0.18,0.97,1.31,-1.21,0.98
1092,230.8,295.58,-1.23,384.75,0.17,0.97,1.28,-1.23,0.98
1098,244.64,328.62,-1.28,449.0,0.17,0.97,1.34,-1.28,0.98
1103,221.99,291.73,-1.33,390.88,0.15,0.98,1.31,-1.33,0.98
1108,151.26,203.1,-1.41,281.29,0.15,0.98,1.34,-1.41,0.97
1114,158.62,214.44,-1.42,298.78,0.15,0.98,1.35,-1.42,0.97
1119,172.55,227.0,-1.44,306.88,0.14,0.98,1.32,-1.44,0.97
1125,192.05,247.09,-1.51,326.64,0.13,0.98,1.29,-1.51,0.97
1130,142.83,178.25,-1.55,231.17,0.11,0.99,1.25,-1.55,0.96
1135,184.09,229.03,-1.61,294.29,0.12,0.99,1.24,-1.61,0.97
1141,156.89,184.89,-1.62,226.64,0.1,0.99,1.18,-1.62,0.96
1146,145.88,173.71,-1.68,216.18,0.12,0.99,1.19,-1.68,0.96
1152,136.77,157.97,-1.68,191.28,0.1,0.99,1.15,-1.68,0.95
1157,165.39,186.89,-1.69,219.62,0.1,0.99,1.13,-1.69,0.96
1162,196.36,208.81,-1.74,230.59,0.1,0.99,1.06,-1.74,0.96
1168,217.54,226.45,-1.76,244.06,0.11,0.99,1.04,-1.76,0.97
1173,151.89,150.35,-1.71,156.28,0.08,0.99,0.99,-1.71,0.95
1178,178.87,173.47,-1.75,175.92,0.09,0.99,0.97,-1.75,0.96
1184,216.28,207.15,-1.73,205.61,0.08,0.99,0.96,-1.73,0.96
1189,178.44,164.6,-1.74,158.85,0.09,0.99,0.92,-1.74,0.96
1195,197.23,168.26,-1.73,149.98,0.11,0.99,0.85,-1.73,0.96
1200,175.55,152.95,-1.71,139.67,0.09,0.99,0.87,-1.71,0.95
1205,179.69,149.67,-1.7,130.7,0.1,0.99,0.83,-1.7,0.95
1211,249.48,209.5,-1.66,181.53,0.09,0.99,0.84,-1.66,0.97
1216,201.32,165.34,-1.64,141.28,0.1,0.99,0.82,-1.64,0.96
1222,222.11,175.14,-1.62,143.33,0.12,0.99,0.79,-1.62,0.96
1227,177.86,141.74,-1.59,117.95,0.12,0.99,0.8,-1.59,0.96
1232,147.95,120.37,-1.59,102.98,0.11,0.99,0.81,-1.59,0.95
1238,162.6,131.82,-1.59,111.82,0.11,0.99,0.81,-1.59,0.96
1243,176.94,145.61,-1.53,124.24,0.12,0.99,0.82,-1.53,0.96
1248,153.41,124.49,-1.5,105.37,0.13,0.98,0.81,-1.5,0.96
1254,151.8,125.44,-1.53,108.15,0.12,0.99,0.83,-1.53,0.96
1259,170.11,140.38,-1.5,120.19,0.13,0.98,0.83,-1.5,0.96
1265,140.82,116.3,-1.51,100.21,0.13,0.98,0.83,-1.51,0.96
1270,165.42,144.76,-1.51,130.89,0.11,0.99,0.88,-1.51,0.97
1275,121.44,109.92,-1.51,103.59,0.11,0.99,0.91,-1.51,0.96
1281,170.56,155.48,-1.46,145.86,0.13,0.98,0.91,-1.46,0.97
1286,145.8,139.35,-1.49,137.28,0.11,0.99,0.96,-1.49,0.97
1291,145.37,139.7,-1.48,138.29,0.12,0.98,0.96,-1.48,0.97
1297,145.78,143.46,-1.5,145.27,0.11,0.99,0.98,-1.5,0.97
1302,113.5,112.47,-1.49,115.49,0.12,0.98,0.99,-1.49,0.97
1308,118.99,121.67,-1.51,128.57,0.12,0.99,1.02,-1.51,0.97
1313,98.7,106.49,-1.57,119.04,0.1,0.99,1.08,-1.57,0.97
1318,101.49,112.16,-1.55,128.38,0.12,0.99,1.11,-1.55,0.97
1324,112.16,124.43,-1.6,142.47,0.1,0.99,1.11,-1.6,0.97
1329,118.02,128.65,-1.61,144.59,0.09,0.99,1.09,-1.61,0.97
1335,99.4,108.08,-1.61,121.81,0.09,0.99,1.09,-1.61,0.96
1340,114.55,131.41,-1.65,155.5,0.1,0.99,1.15,-1.65,0.97
1345,105.42,119.03,-1.69,139.2,0.08,0.99,1.13,-1.69,0.97
1351,94.05,108.75,-1.73,130.77,0.08,0.99,1.16,-1.73,0.96
1356,87.03,102.12,-1.76,124.92,0.08,0.99,1.17,-1.76,0.96
1361,88.55,102.42,-1.79,123.63,0.08,0.99,1.16,-1.79,0.96
1367,87.88,99.27,-1.81,117.29,0.06,1.0,1.13,-1.81,0.96
1372,67.29,76.08,-1.87,91.24,0.07,1.0,1.13,-1.87,0.94
1378,74.54,80.89,-1.85,92.73,0.04,1.0,1.09,-1.85,0.95
1383,86.59,91.69,-1.9,102.06,0.04,1.0,1.06,-1.9,0.95
1388,98.98,105.74,-1.9,117.93,0.04,1.0,1.07,-1.9,0.96
1394,98.94,101.75,-1.97,109.61,0.06,1.0,1.03,-1.97,0.95
1399,80.78,81.32,-1.97,86.77,0.06,1.0,1.01,-1.97,0.94
1405,78.09,77.85,-1.97,82.44,0.06,1.0,1.0,-1.97,0.94
1410,87.71,84.03,-1.98,85.21,0.06,1.0,0.96,-1.98,0.94
1415,83.17,78.35,-1.99,78.47,0.07,1.0,0.94,-1.99,0.94
1421,96.66,89.01,-1.99,86.48,0.07,1.0,0.92,-1.99,0.95
1426,117.98,104.72,-1.98,97.14,0.08,0.99,0.89,-1.98,0.96
1431,135.45,120.08,-1.98,110.63,0.07,0.99,0.89,-1.98,0.96
1437,114.3,97.03,-2.01,86.52,0.1,0.99,0.85,-2.01,0.95
1442,90.33,74.92,-1.98,66.15,0.11,0.99,0.83,-1.98,0.94
1448,89.19,72.91,-1.97,63.51,0.11,0.99,0.82,-1.97,0.94
1453,93.79,74.93,-1.96,63.67,0.12,0.99,0.8,-1.96,0.94
1458,108.45,87.04,-1.94,73.59,0.12,0.99,0.8,-1.94,0.95
1464,108.18,85.33,-1.89,70.76,0.13,0.98,0.79,-1.89,0.95
1469,77.58,60.62,-1.89,50.86,0.13,0.98,0.78,-1.89,0.93
1475,100.37,78.5,-1.88,64.77,0.14,0.98,0.78,-1.88,0.95
1480,105.41,80.6,-1.81,64.62,0.16,0.97,0.76,-1.81,0.95
1485,81.33,62.9,-1.84,51.9,0.15,0.98,0.77,-1.84,0.94
1491,94.91,75.24,-1.82,62.77,0.15,0.98,0.79,-1.82,0.95
1496,84.11,63.49,-1.8,50.94,0.18,0.97,0.75,-1.8,0.94
1501,75.43,61.54,-1.77,53.25,0.16,0.97,0.82,-1.77,0.94
1507,91.56,73.59,-1.72,62.02,0.19,0.96,0.8,-1.72,0.95
1512,86.16,69.39,-1.71,58.77,0.19,0.96,0.81,-1.71,0.95
1518,82.28,68.36,-1.7,59.71,0.19,0.96,0.83,-1.7,0.95
1523,73.18,61.3,-1.69,54.18,0.2,0.96,0.84,-1.69,0.95
1528,61.25,55.1,-1.69,52.58,0.19,0.96,0.9,-1.69,0.94
1534,69.01,64.19,-1.68,62.78,0.19,0.96,0.93,-1.68,0.95
1539,65.43,61.07,-1.66,60.01,0.2,0.96,0.93,-1.66,0.95
1545,77.02,73.76,-1.64,73.44,0.22,0.95,0.96,-1.64,0.96
1550,57.95,58.6,-1.62,62.09,0.23,0.95,1.01,-1.62,0.95
1555,60.27,64.17,-1.71,71.74,0.19,0.96,1.06,-1.71,0.95
1561,66.22,72.35,-1.75,82.56,0.18,0.97,1.09,-1.75,0.96
1566,66.23,72.11,-1.72,81.92,0.2,0.96,1.09,-1.72,0.96
1571,59.83,70.77,-1.75,87.62,0.2,0.96,1.18,-1.75,0.96
1577,54.25,65.61,-1.8,83.53,0.19,0.96,1.21,-1.8,0.95
1582,62.95,76.33,-1.84,96.77,0.18,0.97,1.21,-1.84,0.96
1588,44.82,56.86,-1.84,76.77,0.19,0.96,1.27,-1.84,0.94
1593,54.38,68.05,-1.89,89.77,0.18,0.97,1.25,-1.89,0.95
1598,49.76,63.9,-1.93,86.93,0.18,0.97,1.28,-1.93,0.94
1604,43.74,54.86,-1.96,73.62,0.16,0.97,1.25,-1.96,0.93
1609,37.78,49.67,-2.02,70.7,0.17,0.97,1.31,-2.02,0.92
1614,48.91,63.53,-2.08,87.98,0.16,0.98,1.3,-2.08,0.94
1620,45.57,59.57,-2.08,83.4,0.16,0.97,1.31,-2.08,0.93
1625,41.38,52.43,-2.15,71.94,0.14,0.98,1.27,-2.15,0.92
1631,41.45,50.85,-2.14,67.59,0.12,0.98,1.23,-2.14,0.92
1636,53.91,66.43,-2.2,87.28,0.13,0.98,1.23,-2.2,0.94
1641,48.98,57.32,-2.27,72.28,0.11,0.99,1.17,-2.27,0.93
1647,47.87,57.39,-2.27,74.24,0.13,0.98,1.2,-2.27,0.93
1652,48.98,59.47,-2.31,77.73,0.14,0.98,1.21,-2.31,0.93
1658,44.63,50.9,-2.33,63.36,0.12,0.99,1.14,-2.33,0.92
1663,42.42,45.37,-2.33,53.43,0.09,0.99,1.07,-2.33,0.91
1668,46.72,51.37,-2.4,61.69,0.14,0.98,1.1,-2.4,0.92
1674,55.84,57.84,-2.4,64.8,0.12,0.99,1.04,-2.4,0.92
1679,40.26,42.05,-2.37,48.73,0.09,0.99,1.04,-2.37,0.9
1684,53.2,50.51,-2.38,52.23,0.1,0.99,0.95,-2.38,0.92
1690,57.08,59.0,-2.41,65.64,0.11,0.99,1.03,-2.41,0.93
1695,56.68,54.97,-2.43,57.89,0.13,0.98,0.97,-2.43,0.92
1701,51.88,48.95,-2.43,50.62,0.13,0.98,0.94,-2.43,0.91
1706,57.28,51.53,-2.42,50.59,0.13,0.98,0.9,-2.42,0.92
1711,49.73,46.2,-2.41,47.07,0.1,0.99,0.93,-2.41,0.91
1717,77.94,69.02,-2.4,65.13,0.12,0.99,0.89,-2.4,0.94
1722,51.28,45.94,-2.46,45.11,0.14,0.98,0.9,-2.46,0.91
1728,65.92,55.8,-2.36,50.91,0.12,0.99,0.85,-2.36,0.93
1733,46.69,38.78,-2.38,35.97,0.14,0.98,0.83,-2.38,0.9
1738,60.45,47.1,-2.34,40.21,0.17,0.97,0.78,-2.34,0.91
1744,51.95,40.04,-2.31,34.23,0.17,0.97,0.77,-2.31,0.9
1749,46.35,37.43,-2.31,33.61,0.15,0.98,0.81,-2.31,0.9
1754,59.62,43.18,-2.31,34.43,0.22,0.95,0.72,-2.31,0.91
1760,43.34,33.64,-2.29,29.42,0.17,0.97,0.78,-2.29,0.89
1765,47.21,34.23,-2.24,27.9,0.22,0.95,0.73,-2.24,0.89
1771,42.59,30.12,-2.31,24.29,0.24,0.94,0.71,-2.31,0.88
1776,37.68,27.81,-2.19,23.52,0.23,0.95,0.74,-2.19,0.87
1781,47.42,35.62,-2.14,29.65,0.23,0.95,0.75,-2.14,0.9
1787,44.72,35.5,-2.17,31.2,0.2,0.96,0.79,-2.17,0.9
1792,33.13,25.09,-2.13,21.91,0.24,0.94,0.76,-2.13,0.87
1798,33.88,25.23,-2.03,21.44,0.28,0.92,0.74,-2.03,0.88
1803,36.34,28.72,-2.13,25.61,0.23,0.95,0.79,-2.13,0.89
