f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
0,220.09,246.15,0.0,289.79,1.0,0.0,1.12,0.0,0.95
5,233.47,262.6,-0.04,311.8,0.97,0.07,1.12,-0.04,0.95
10,274.85,319.02,-0.1,390.87,0.92,0.16,1.16,-0.1,0.95
16,453.15,543.11,-0.15,676.68,0.89,0.21,1.2,-0.15,0.96
21,691.98,843.2,-0.22,1060.74,0.87,0.25,1.22,-0.22,0.97
26,1445.55,1743.35,-0.24,2132.86,0.83,0.31,1.21,-0.24,0.99
32,2690.93,3155.91,-0.25,3729.93,0.78,0.38,1.17,-0.25,0.99
37,5379.28,6144.19,-0.24,7040.31,0.73,0.47,1.14,-0.24,1.0
43,5525.54,6277.85,-0.23,7153.27,0.68,0.53,1.14,-0.23,1.0
48,8762.34,9885.98,-0.22,11172.82,0.64,0.6,1.13,-0.22,1.0
53,14046.34,15644.46,-0.21,17443.05,0.58,0.66,1.11,-0.21,1.0
59,13995.52,15515.09,-0.2,17219.57,0.54,0.71,1.11,-0.2,1.0
64,14101.51,15655.04,-0.19,17398.57,0.5,0.75,1.11,-0.19,1.0
69,15761.76,17548.08,-0.19,19555.24,0.48,0.77,1.11,-0.19,1.0
75,18281.99,20373.06,-0.18,22721.43,0.45,0.8,1.11,-0.18,1.0
80,18029.42,20426.98,-0.18,23163.23,0.46,0.79,1.13,-0.18,1.0
86,17186.58,19427.79,-0.17,21980.31,0.44,0.81,1.13,-0.17,1.0
91,20811.39,24054.15,-0.17,27822.86,0.47,0.78,1.16,-0.17,1.0
96,11974.41,13950.89,-0.17,16277.24,0.47,0.77,1.17,-0.17,1.0
102,13271.55,15674.88,-0.18,18538.73,0.49,0.76,1.18,-0.18,1.0
107,11827.51,14243.18,-0.18,17179.41,0.51,0.74,1.2,-0.18,1.0
113,10941.76,13406.49,-0.18,16458.61,0.53,0.72,1.23,-0.18,1.0
118,8639.18,10855.86,-0.17,13677.72,0.57,0.67,1.26,-0.17,1.0
123,6523.12,8377.79,-0.18,10802.7,0.59,0.65,1.28,-0.18,1.0
129,6756.31,9030.61,-0.2,12120.36,0.63,0.61,1.34,-0.2,1.0
134,4748.27,6595.8,-0.2,9223.89,0.66,0.56,1.39,-0.2,0.99
139,3483.39,5046.64,-0.2,7378.97,0.7,0.51,1.45,-0.2,0.99
145,2682.38,4173.28,-0.22,6593.97,0.74,0.46,1.56,-0.22,0.98
150,1874.29,3055.81,-0.28,5116.43,0.73,0.47,1.63,-0.28,0.97
156,1486.35,2780.31,-0.3,5430.68,0.79,0.37,1.87,-0.3,0.96
161,662.27,1413.87,-0.47,3463.95,0.8,0.37,2.13,-0.47,0.87
166,543.95,1301.79,-0.75,3900.83,0.8,0.36,2.39,-0.75,0.8
172,322.66,645.71,-1.32,2327.4,0.8,0.36,2.0,-1.32,0.56
177,647.43,976.53,-1.8,2168.99,0.84,0.3,1.51,-1.8,0.68
183,1290.38,1297.0,-1.96,1703.53,0.85,0.28,1.01,-1.96,0.77
188,1702.15,1173.84,-2.1,1130.68,0.87,0.24,0.69,-2.1,0.72
193,4044.51,1800.88,-1.91,1004.97,0.87,0.25,0.45,-1.91,0.8
199,5819.06,1753.5,-1.64,680.8,0.87,0.24,0.3,-1.64,0.78
204,7702.48,1863.02,-1.09,562.2,0.87,0.24,0.24,-1.09,0.8
209,13732.15,3624.5,-0.7,1039.46,0.87,0.24,0.26,-0.7,0.92
215,11158.94,3411.82,-0.45,1111.19,0.87,0.24,0.31,-0.45,0.94
220,14053.5,5161.04,-0.29,1948.42,0.87,0.24,0.37,-0.29,0.97
226,16975.08,6971.54,-0.24,2908.09,0.87,0.25,0.41,-0.24,0.98
231,18842.03,8545.0,-0.22,3914.02,0.85,0.29,0.45,-0.22,0.99
236,19009.41,9301.54,-0.18,4586.32,0.85,0.28,0.49,-0.18,0.99
242,18141.08,9510.44,-0.17,5015.88,0.82,0.32,0.52,-0.17,0.99
247,19004.01,10205.08,-0.14,5505.83,0.84,0.3,0.54,-0.14,1.0
253,19097.81,11006.14,-0.12,6369.28,0.83,0.31,0.58,-0.12,1.0
258,16023.95,9607.78,-0.11,5784.87,0.83,0.32,0.6,-0.11,1.0
263,18573.68,11443.89,-0.11,7073.93,0.81,0.34,0.62,-0.11,1.0
269,20068.91,12816.15,-0.11,8205.37,0.8,0.36,0.64,-0.11,1.0
274,20258.12,13337.09,-0.1,8800.97,0.8,0.37,0.66,-0.1,1.0
279,21063.28,14216.47,-0.09,9614.43,0.81,0.35,0.67,-0.09,1.0
285,21277.96,14604.39,-0.08,10041.93,0.81,0.35,0.69,-0.08,1.0
290,20530.49,14602.54,-0.08,10404.13,0.8,0.36,0.71,-0.08,1.0
296,19337.9,14041.83,-0.08,10214.82,0.78,0.39,0.73,-0.08,1.0
301,22848.76,16833.61,-0.08,12420.76,0.79,0.38,0.74,-0.08,1.0
306,24026.51,18249.84,-0.08,13879.57,0.78,0.4,0.76,-0.08,1.0
312,31467.87,24328.74,-0.07,18825.46,0.8,0.36,0.77,-0.07,1.0
317,36911.48,29095.38,-0.07,22952.68,0.79,0.38,0.79,-0.07,1.0
322,30903.62,24769.97,-0.07,19872.01,0.78,0.39,0.8,-0.07,1.0
328,29126.5,23895.35,-0.06,19622.64,0.8,0.37,0.82,-0.06,1.0
