f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
333,37671.7,31446.45,-0.06,26268.27,0.79,0.38,0.83,-0.06,1.0
339,40213.86,34503.52,-0.06,29623.3,0.79,0.37,0.86,-0.06,1.0
344,36807.22,32297.3,-0.06,28358.76,0.78,0.39,0.88,-0.06,1.0
349,27059.75,24125.81,-0.05,21530.42,0.81,0.34,0.89,-0.05,1.0
355,42600.87,38812.92,-0.06,35382.97,0.8,0.36,0.91,-0.06,1.0
360,37040.75,34489.3,-0.06,32136.05,0.8,0.36,0.93,-0.06,1.0
366,30478.12,29123.23,-0.05,27852.09,0.8,0.35,0.96,-0.05,1.0
371,29286.32,28447.65,-0.05,27657.4,0.81,0.35,0.97,-0.05,1.0
376,22914.38,22815.12,-0.06,22742.43,0.8,0.35,1.0,-0.06,1.0
382,20787.7,21276.18,-0.06,21804.1,0.8,0.36,1.02,-0.06,1.0
387,22604.2,23542.21,-0.05,24545.76,0.82,0.33,1.04,-0.05,1.0
392,19970.15,21568.47,-0.06,23326.06,0.82,0.33,1.08,-0.06,1.0
398,16547.53,18328.6,-0.06,20333.7,0.79,0.37,1.11,-0.06,1.0
403,16987.62,19523.37,-0.05,22473.91,0.83,0.3,1.15,-0.05,1.0
409,15583.2,18388.99,-0.06,21740.37,0.82,0.33,1.18,-0.06,1.0
414,13440.53,16408.82,-0.06,20076.42,0.83,0.3,1.22,-0.06,1.0
419,11654.73,14748.44,-0.06,18712.61,0.83,0.31,1.27,-0.06,1.0
425,11033.16,14354.07,-0.08,18725.17,0.8,0.37,1.3,-0.08,1.0
430,9161.51,12535.78,-0.07,17212.8,0.83,0.31,1.37,-0.07,1.0
436,10743.64,15321.02,-0.08,21916.83,0.82,0.32,1.43,-0.08,1.0
441,8644.04,12821.85,-0.08,19094.28,0.83,0.31,1.48,-0.08,1.0
446,7400.72,11693.55,-0.09,18565.05,0.84,0.3,1.58,-0.09,1.0
452,6869.42,11432.48,-0.09,19133.04,0.85,0.28,1.66,-0.09,0.99
457,4978.17,8716.81,-0.1,15388.57,0.85,0.28,1.75,-0.1,0.99
462,4681.35,8730.03,-0.1,16432.61,0.86,0.26,1.86,-0.1,0.99
468,3347.94,6917.39,-0.12,14494.14,0.86,0.26,2.07,-0.12,0.99
473,2281.64,5073.01,-0.13,11540.21,0.87,0.25,2.22,-0.13,0.98
479,2360.03,5807.69,-0.11,14600.58,0.9,0.19,2.46,-0.11,0.98
484,1263.42,3661.15,-0.19,11126.06,0.87,0.24,2.9,-0.19,0.95
489,571.07,1825.77,-0.22,6570.83,0.87,0.23,3.2,-0.22,0.89
495,452.91,1687.29,-0.28,7416.12,0.87,0.24,3.73,-0.28,0.85
500,278.25,1058.38,-0.45,5290.59,0.81,0.34,3.8,-0.45,0.76
506,155.84,573.46,-0.72,4448.63,0.74,0.46,3.68,-0.72,0.47
511,135.43,422.74,-1.36,3729.57,0.66,0.57,3.12,-1.36,0.35
516,159.87,368.83,-2.36,2505.62,0.79,0.38,2.31,-2.36,0.34
522,204.22,512.19,-2.64,2731.25,0.87,0.25,2.51,-2.64,0.47
527,198.04,363.88,-2.88,1562.93,0.92,0.16,1.84,-2.88,0.43
532,497.66,784.08,-2.82,1793.35,0.89,0.21,1.58,-2.82,0.69
538,632.67,852.1,-2.67,1534.61,0.84,0.29,1.35,-2.67,0.75
543,737.57,734.15,-2.75,1011.69,0.86,0.26,1.0,-2.75,0.72
549,1114.7,912.67,-2.89,974.36,0.91,0.18,0.82,-2.89,0.77
554,1100.92,750.73,-2.91,699.41,0.92,0.16,0.68,-2.91,0.73
559,1872.78,895.09,-2.86,567.26,0.91,0.17,0.48,-2.86,0.75
565,1232.74,416.9,-2.73,252.11,0.89,0.21,0.34,-2.73,0.56
570,1978.19,584.96,-2.84,274.84,0.92,0.15,0.3,-2.84,0.63
576,2044.43,427.04,-2.62,177.35,0.89,0.2,0.21,-2.62,0.5
581,2432.57,403.62,-2.56,148.97,0.9,0.19,0.17,-2.56,0.45
586,3159.2,304.27,-2.18,98.52,0.9,0.18,0.1,-2.18,0.3
592,3535.8,226.99,-1.31,73.6,0.91,0.16,0.06,-1.31,0.2
597,3124.34,294.08,-0.93,83.39,0.89,0.21,0.09,-0.93,0.33
602,4915.28,661.67,-0.43,136.06,0.91,0.18,0.13,-0.43,0.65
608,4745.7,790.59,-0.36,178.24,0.9,0.19,0.17,-0.36,0.74
613,6357.09,1327.65,-0.23,317.94,0.91,0.17,0.21,-0.23,0.87
619,7387.79,1825.06,-0.21,489.17,0.9,0.19,0.25,-0.21,0.92
624,7067.6,1944.84,-0.11,570.36,0.94,0.12,0.28,-0.11,0.94
629,8968.17,2959.16,-0.1,1007.58,0.93,0.14,0.33,-0.1,0.97
635,7792.45,2666.21,-0.12,943.81,0.91,0.16,0.34,-0.12,0.97
640,6600.48,2494.94,-0.07,972.08,0.94,0.12,0.38,-0.07,0.97
645,5445.66,2242.31,-0.05,951.75,0.95,0.1,0.41,-0.05,0.97
651,5883.16,2602.1,-0.09,1178.53,0.91,0.17,0.44,-0.09,0.98
656,5497.44,2614.5,-0.07,1269.89,0.92,0.15,0.48,-0.07,0.98
662,4338.23,2245.97,-0.05,1189.28,0.94,0.12,0.52,-0.05,0.98
667,4867.07,2640.7,-0.04,1457.66,0.94,0.11,0.54,-0.04,0.98
672,3286.99,1894.52,-0.09,1114.96,0.87,0.24,0.58,-0.09,0.98
678,3188.45,1876.77,-0.03,1127.06,0.96,0.08,0.59,-0.03,0.98
683,2827.69,1754.97,-0.04,1111.86,0.94,0.12,0.62,-0.04,0.98
689,2201.16,1433.58,-0.04,956.54,0.94,0.12,0.65,-0.04,0.98
694,1384.34,937.87,-0.03,657.88,0.96,0.09,0.68,-0.03,0.97
699,915.84,648.45,-0.07,480.71,0.88,0.23,0.71,-0.07,0.96
705,872.4,650.67,-0.05,507.87,0.91,0.16,0.75,-0.05,0.96
710,727.03,540.28,-0.02,421.84,0.96,0.07,0.74,-0.02,0.95
715,448.95,361.74,-0.06,314.73,0.9,0.2,0.81,-0.06,0.93
721,382.57,323.18,-0.07,297.67,0.89,0.22,0.84,-0.07,0.92
726,410.96,356.97,-0.06,333.15,0.89,0.2,0.87,-0.06,0.93
732,377.9,341.62,-0.05,333.23,0.91,0.17,0.9,-0.05,0.93
737,445.32,433.47,-0.06,448.5,0.89,0.22,0.97,-0.06,0.94
742,335.05,348.03,-0.06,390.38,0.89,0.2,1.04,-0.06,0.93
748,279.57,308.57,-0.06,371.74,0.9,0.2,1.1,-0.06,0.92
753,290.17,339.3,-0.0,431.15,1.0,0.0,1.17,-0.0,0.92
759,357.16,438.65,-0.07,573.45,0.89,0.21,1.23,-0.07,0.94
764,341.06,444.75,-0.01,619.79,0.98,0.04,1.3,-0.01,0.94
769,338.23,475.5,-0.08,711.48,0.87,0.23,1.41,-0.08,0.94
775,220.17,327.93,-0.07,537.52,0.9,0.18,1.49,-0.07,0.91
780,233.92,355.5,-0.08,590.54,0.88,0.22,1.52,-0.08,0.91
785,248.03,399.17,-0.06,696.51,0.92,0.16,1.61,-0.06,0.92
791,209.71,363.56,-0.05,694.52,0.94,0.13,1.73,-0.05,0.91
796,178.56,348.36,-0.13,759.06,0.86,0.27,1.95,-0.13,0.9
802,193.32,425.64,-0.09,1043.95,0.92,0.16,2.2,-0.09,0.9
807,127.42,282.27,-0.07,733.67,0.93,0.14,2.22,-0.07,0.85
812,147.9,378.56,-0.12,1113.18,0.9,0.2,2.56,-0.12,0.87
818,94.53,284.85,-0.2,1075.65,0.86,0.26,3.01,-0.2,0.8
823,54.64,177.0,-0.19,871.78,0.88,0.23,3.24,-0.19,0.66
829,45.17,133.33,-0.19,698.75,0.87,0.25,2.95,-0.19,0.56
834,35.97,124.34,-0.51,926.0,0.74,0.45,3.46,-0.51,0.46
839,28.37,87.49,-0.7,944.75,0.64,0.6,3.08,-0.7,0.29
845,25.4,49.92,-1.39,670.7,0.36,0.87,1.97,-1.39,0.15
850,27.0,72.39,-2.23,879.96,0.66,0.57,2.68,-2.23,0.22
855,35.44,97.88,-2.52,773.2,0.75,0.44,2.76,-2.52,0.35
861,52.61,164.98,-2.85,908.62,0.88,0.22,3.14,-2.85,0.57
866,65.95,172.68,-2.87,710.24,0.88,0.23,2.62,-2.87,0.64
872,87.48,206.68,-2.8,684.82,0.84,0.29,2.36,-2.8,0.71
877,110.56,228.97,-2.96,617.03,0.9,0.18,2.07,-2.96,0.77
882,125.02,218.23,-3.02,488.08,0.93,0.14,1.75,-3.02,0.78
888,212.41,323.41,-2.95,575.55,0.89,0.21,1.52,-2.95,0.86
893,154.39,218.88,-2.94,387.73,0.88,0.23,1.42,-2.94,0.8
899,234.83,274.77,-2.95,376.0,0.88,0.23,1.17,-2.95,0.86
904,247.47,250.78,-3.02,297.48,0.92,0.16,1.01,-3.02,0.85
909,377.78,339.42,-3.02,340.68,0.92,0.16,0.9,-3.02,0.9
915,417.75,339.16,-2.98,309.16,0.9,0.2,0.81,-2.98,0.89
920,436.5,328.16,-2.92,277.08,0.86,0.27,0.75,-2.92,0.89
925,476.92,316.55,-2.94,237.11,0.87,0.24,0.66,-2.94,0.89
931,536.96,295.8,-2.95,186.08,0.89,0.21,0.55,-2.95,0.88
936,791.9,385.77,-2.94,209.4,0.88,0.22,0.49,-2.94,0.9
942,671.63,293.77,-2.87,146.23,0.86,0.26,0.44,-2.87,0.88
947,870.41,309.74,-2.95,126.59,0.91,0.18,0.36,-2.95,0.87
952,835.91,261.28,-2.97,96.36,0.92,0.15,0.31,-2.97,0.85
958,919.15,245.71,-2.85,79.78,0.88,0.22,0.27,-2.85,0.82
963,917.33,178.86,-2.79,47.15,0.89,0.2,0.19,-2.79,0.74
968,1098.75,176.73,-2.81,39.55,0.91,0.17,0.16,-2.81,0.72
974,973.89,103.13,-2.63,21.52,0.91,0.17,0.11,-2.63,0.51
979,899.25,68.51,-2.58,15.26,0.93,0.14,0.08,-2.58,0.34
985,917.09,41.59,-1.55,11.01,0.92,0.16,0.05,-1.55,0.17
990,746.99,44.59,-1.08,11.25,0.9,0.19,0.06,-1.08,0.24
995,910.85,77.23,-0.56,14.82,0.91,0.17,0.08,-0.56,0.44
1001,1167.13,146.22,-0.41,26.0,0.9,0.18,0.13,-0.41,0.7
1006,934.29,156.61,-0.22,33.65,0.93,0.14,0.17,-0.22,0.78
1012,1326.74,272.5,-0.21,62.96,0.91,0.16,0.21,-0.21,0.89
1017,1022.21,234.08,-0.12,60.35,0.94,0.11,0.23,-0.12,0.89
1022,1125.97,318.57,-0.09,96.79,0.95,0.1,0.28,-0.09,0.93
1028,1370.47,439.11,-0.11,147.31,0.93,0.13,0.32,-0.11,0.96
1033,1151.7,442.08,-0.12,175.83,0.91,0.17,0.38,-0.12,0.97
1038,1317.17,548.99,-0.09,235.36,0.93,0.14,0.42,-0.09,0.97
1044,1181.63,531.16,-0.08,245.33,0.94,0.12,0.45,-0.08,0.97
1049,967.69,487.37,-0.03,251.81,0.97,0.06,0.5,-0.03,0.97
1055,1282.65,702.89,-0.06,391.96,0.95,0.1,0.55,-0.06,0.98
1060,1193.95,719.83,-0.07,440.9,0.93,0.13,0.6,-0.07,0.98
1065,1183.83,771.14,-0.06,509.48,0.94,0.12,0.65,-0.06,0.99
1071,1321.41,947.9,-0.06,687.41,0.94,0.13,0.72,-0.06,0.99
1076,1155.51,883.02,-0.06,682.61,0.94,0.12,0.76,-0.06,0.99
1082,1087.01,908.41,-0.05,767.5,0.95,0.1,0.84,-0.05,0.99
1087,886.09,793.42,-0.06,719.54,0.94,0.12,0.9,-0.06,0.99
1092,696.28,682.56,-0.04,678.94,0.95,0.09,0.98,-0.04,0.99
1098,671.43,729.96,-0.04,803.84,0.96,0.08,1.09,-0.04,0.99
1103,570.69,650.4,-0.02,752.23,0.98,0.05,1.14,-0.02,0.99
1108,548.09,666.67,-0.06,823.8,0.94,0.12,1.22,-0.06,0.98
1114,403.09,540.49,-0.06,739.93,0.94,0.12,1.34,-0.06,0.98
1119,347.24,516.48,-0.04,786.32,0.96,0.08,1.49,-0.04,0.98
1125,232.83,383.28,-0.08,652.94,0.93,0.13,1.65,-0.08,0.97
1130,264.12,471.09,-0.06,864.78,0.95,0.1,1.78,-0.06,0.97
1135,146.42,301.97,-0.1,655.63,0.92,0.15,2.06,-0.1,0.95
1141,137.9,303.12,-0.06,702.03,0.96,0.08,2.2,-0.06,0.95
1146,78.17,194.37,-0.12,533.41,0.92,0.16,2.49,-0.12,0.91
1152,68.06,191.19,-0.23,598.14,0.86,0.26,2.81,-0.23,0.9
1157,28.82,90.7,-0.23,376.7,0.88,0.23,3.15,-0.23,0.76
1162,38.44,134.79,-0.13,574.29,0.93,0.13,3.51,-0.13,0.82
1168,26.01,106.67,-0.26,603.67,0.89,0.21,4.1,-0.26,0.72
1173,15.86,73.71,-0.48,647.4,0.82,0.32,4.65,-0.48,0.53
1178,8.62,24.22,-0.46,413.55,0.75,0.44,2.81,-0.46,0.16
1184,8.81,25.2,-1.1,474.66,0.54,0.71,2.86,-1.1,0.15
1189,11.32,37.77,-2.17,413.15,0.61,0.63,3.34,-2.17,0.3
1195,15.87,60.7,-2.71,470.03,0.81,0.34,3.83,-2.71,0.49
1200,20.62,79.72,-2.77,513.83,0.84,0.3,3.87,-2.77,0.6
1205,26.98,84.68,-2.83,393.18,0.83,0.3,3.14,-2.83,0.68
1211,43.96,131.29,-2.93,488.35,0.88,0.23,2.99,-2.93,0.8
1216,41.25,118.05,-2.98,424.32,0.9,0.19,2.86,-2.98,0.8
1222,70.83,157.7,-2.92,403.28,0.84,0.29,2.23,-2.92,0.87
1227,90.56,187.51,-2.91,433.51,0.83,0.32,2.07,-2.91,0.9
1232,117.22,230.77,-2.97,496.77,0.86,0.25,1.97,-2.97,0.91
1238,115.48,204.11,-2.99,396.93,0.87,0.24,1.77,-2.99,0.91
1243,113.8,177.75,-2.95,306.28,0.83,0.31,1.56,-2.95,0.91
1248,185.89,261.38,-3.01,391.28,0.88,0.23,1.41,-3.01,0.94
1254,206.36,268.32,-2.96,370.18,0.82,0.33,1.3,-2.96,0.94
1259,303.68,382.83,-2.99,502.69,0.85,0.27,1.26,-2.99,0.96
1265,306.18,329.9,-2.98,371.05,0.84,0.3,1.08,-2.98,0.96
1270,245.46,252.86,-3.0,275.6,0.85,0.28,1.03,-3.0,0.95
1275,366.65,359.73,-3.02,366.87,0.87,0.24,0.98,-3.02,0.96
1281,355.6,310.22,-3.01,283.26,0.86,0.26,0.87,-3.01,0.96
1286,376.38,304.35,-3.02,257.63,0.87,0.24,0.81,-3.02,0.96
1291,535.29,405.53,-3.03,317.32,0.88,0.22,0.76,-3.03,0.97
1297,394.91,265.25,-3.01,187.63,0.87,0.24,0.67,-3.01,0.95
1302,425.47,264.34,-2.99,173.01,0.85,0.27,0.62,-2.99,0.95
1308,486.11,269.82,-2.98,157.87,0.85,0.27,0.56,-2.98,0.95
1313,448.66,229.03,-2.96,124.43,0.84,0.29,0.51,-2.96,0.94
1318,419.78,200.51,-2.98,103.31,0.87,0.25,0.48,-2.98,0.93
1324,421.04,187.63,-2.9,90.16,0.82,0.33,0.45,-2.9,0.93
1329,442.78,179.8,-2.94,79.63,0.85,0.28,0.41,-2.94,0.92
1335,584.19,201.27,-2.86,75.1,0.83,0.32,0.34,-2.86,0.92
1340,421.11,122.4,-2.9,41.33,0.87,0.24,0.29,-2.9,0.86
1345,464.82,117.68,-2.84,35.3,0.86,0.26,0.25,-2.84,0.84
1351,375.83,75.77,-2.78,20.45,0.86,0.25,0.2,-2.78,0.75
1356,425.4,79.54,-2.83,20.08,0.89,0.21,0.19,-2.83,0.74
1361,433.73,76.4,-2.7,18.01,0.86,0.26,0.18,-2.7,0.75
1367,319.92,35.71,-2.37,8.6,0.86,0.27,0.11,-2.37,0.46
1372,307.52,30.94,-2.37,7.71,0.87,0.25,0.1,-2.37,0.4
1378,326.45,28.32,-1.54,6.81,0.85,0.28,0.09,-1.54,0.36
1383,331.65,21.52,-0.82,5.74,0.91,0.16,0.06,-0.82,0.24
1388,283.26,34.2,-0.66,8.39,0.88,0.23,0.12,-0.66,0.49
1394,234.73,33.29,-0.39,9.22,0.91,0.17,0.14,-0.39,0.51
1399,200.46,36.81,-0.37,11.09,0.89,0.2,0.18,-0.37,0.61
1405,246.65,58.79,-0.3,18.37,0.89,0.21,0.24,-0.3,0.76
1410,197.38,50.14,-0.11,16.77,0.96,0.09,0.25,-0.11,0.76
1415,166.9,57.25,-0.19,24.38,0.91,0.17,0.34,-0.19,0.81
1421,177.13,69.91,-0.24,32.24,0.88,0.22,0.39,-0.24,0.86
1426,153.97,69.99,-0.14,36.92,0.92,0.15,0.45,-0.14,0.86
1431,144.97,85.6,-0.16,55.79,0.9,0.19,0.59,-0.16,0.91
1437,131.83,77.92,-0.1,51.51,0.94,0.12,0.59,-0.1,0.89
1442,119.79,81.53,-0.16,61.59,0.9,0.19,0.68,-0.16,0.9
1448,98.13,78.77,-0.13,70.24,0.92,0.16,0.8,-0.13,0.9
1453,87.26,80.84,-0.16,83.0,0.9,0.2,0.93,-0.16,0.9
1458,83.37,87.39,-0.12,100.77,0.92,0.16,1.05,-0.12,0.91
1464,70.69,77.31,-0.09,94.0,0.94,0.11,1.09,-0.09,0.9
1469,67.48,88.96,-0.16,130.14,0.9,0.19,1.32,-0.16,0.9
1475,42.36,63.95,-0.16,113.02,0.9,0.19,1.51,-0.16,0.85
1480,40.49,70.6,-0.17,143.65,0.91,0.18,1.74,-0.17,0.86
1485,34.2,69.34,-0.21,166.71,0.89,0.21,2.03,-0.21,0.84
1491,33.26,77.18,-0.26,212.67,0.87,0.24,2.32,-0.26,0.84
1496,20.28,52.3,-0.27,180.87,0.88,0.23,2.58,-0.27,0.75
1501,17.62,62.28,-0.46,303.81,0.84,0.3,3.53,-0.46,0.72
1507,11.75,38.68,-0.54,216.34,0.8,0.36,3.29,-0.54,0.59
1512,9.98,36.51,-0.91,237.16,0.72,0.49,3.66,-0.91,0.56
1518,7.51,26.89,-1.24,253.79,0.65,0.58,3.58,-1.24,0.38
1523,5.7,17.34,-1.49,245.55,0.56,0.68,3.04,-1.49,0.21
1528,8.78,39.42,-2.33,365.61,0.72,0.48,4.49,-2.33,0.48
1534,10.76,38.66,-2.56,242.87,0.72,0.48,3.59,-2.56,0.57
1539,14.08,54.01,-2.66,304.79,0.77,0.4,3.84,-2.66,0.68
1545,22.3,76.42,-2.68,327.49,0.76,0.43,3.43,-2.68,0.8
1550,33.07,97.21,-2.77,329.78,0.76,0.42,2.94,-2.77,0.87
1555,37.03,96.42,-2.88,288.22,0.8,0.36,2.6,-2.88,0.87
1561,43.82,104.78,-2.94,281.95,0.82,0.32,2.39,-2.94,0.89
1566,35.13,78.95,-2.91,205.04,0.79,0.38,2.25,-2.91,0.87
1571,58.16,116.14,-2.93,253.07,0.78,0.38,2.0,-2.93,0.92
1577,61.16,116.53,-2.97,241.65,0.82,0.33,1.91,-2.97,0.92
1582,63.53,109.76,-2.98,206.28,0.8,0.36,1.73,-2.98,0.92
1588,60.89,95.86,-2.93,164.55,0.73,0.47,1.57,-2.93,0.92
1593,65.48,98.14,-2.99,159.57,0.79,0.38,1.5,-2.99,0.92
1598,95.63,137.4,-3.02,208.8,0.82,0.32,1.44,-3.02,0.95
1604,93.26,126.79,-3.02,183.2,0.81,0.34,1.36,-3.02,0.94
1609,89.33,115.92,-2.99,160.06,0.78,0.4,1.3,-2.99,0.94
1614,106.52,128.74,-3.0,164.29,0.77,0.41,1.21,-3.0,0.95
1620,72.03,79.82,-2.99,96.45,0.75,0.43,1.11,-2.99,0.92
1625,103.77,112.08,-2.97,128.31,0.72,0.48,1.08,-2.97,0.94
1631,100.36,103.32,-2.99,113.24,0.75,0.44,1.03,-2.99,0.94
1636,127.44,127.95,-3.04,134.82,0.82,0.33,1.0,-3.04,0.95
1641,139.58,127.85,-2.99,122.8,0.75,0.43,0.92,-2.99,0.95
1647,121.82,109.86,-3.0,104.74,0.75,0.43,0.9,-3.0,0.95
1652,145.08,123.61,-3.01,110.61,0.78,0.4,0.85,-3.01,0.95
1658,145.18,115.35,-2.98,96.46,0.74,0.45,0.79,-2.98,0.95
1663,149.67,114.86,-3.02,92.79,0.79,0.37,0.77,-3.02,0.95
1668,171.38,129.19,-3.0,101.99,0.77,0.4,0.75,-3.0,0.95
1674,147.28,103.18,-3.04,76.46,0.84,0.29,0.7,-3.04,0.95
1679,192.87,128.45,-2.97,89.58,0.75,0.43,0.67,-2.97,0.96
1684,167.54,107.3,-3.0,72.6,0.79,0.38,0.64,-3.0,0.95
1690,152.42,94.42,-2.98,62.34,0.78,0.4,0.62,-2.98,0.94
1695,152.8,83.0,-2.95,48.33,0.77,0.41,0.54,-2.95,0.93
1701,137.09,71.82,-2.97,41.0,0.8,0.36,0.52,-2.97,0.92
1706,133.38,66.94,-2.99,36.82,0.83,0.31,0.5,-2.99,0.91
1711,149.85,72.15,-2.98,37.79,0.83,0.32,0.48,-2.98,0.92
1717,141.47,63.64,-2.99,31.58,0.85,0.28,0.45,-2.99,0.91
1722,155.33,60.75,-2.96,26.6,0.84,0.29,0.39,-2.96,0.89
1728,153.2,56.45,-2.93,23.62,0.84,0.3,0.37,-2.93,0.88
1733,151.05,56.01,-2.82,23.25,0.76,0.42,0.37,-2.82,0.89
1738,118.57,35.19,-2.91,12.91,0.87,0.25,0.3,-2.91,0.81
1744,135.01,35.83,-2.76,11.93,0.82,0.33,0.27,-2.76,0.8
1749,118.94,27.11,-2.64,8.59,0.81,0.34,0.23,-2.64,0.72
1754,102.43,20.43,-2.68,6.45,0.85,0.28,0.2,-2.68,0.63
1760,97.12,15.44,-2.28,4.73,0.82,0.33,0.16,-2.28,0.52
1765,81.35,11.95,-2.02,3.97,0.81,0.34,0.15,-2.02,0.44
1771,80.28,10.9,-1.54,3.72,0.83,0.32,0.14,-1.54,0.4
1776,55.78,6.39,-1.41,2.92,0.86,0.27,0.11,-1.41,0.25
1781,49.5,6.72,-0.89,3.14,0.88,0.23,0.14,-0.89,0.29
1787,47.01,10.33,-0.76,4.6,0.85,0.28,0.22,-0.76,0.49
1792,40.94,11.86,-0.63,5.87,0.85,0.28,0.29,-0.63,0.59
1798,31.48,12.22,-0.64,7.29,0.82,0.33,0.39,-0.64,0.65
